1	2.551000e+00	4.743046e-02
2	5.090000e+00	1.342383e-01
4	1.005300e+01	2.967225e-01
8	2.118200e+01	6.407975e-01
16	3.976900e+01	1.210166e+00
32	8.099600e+01	2.496928e+00
64	1.609390e+02	4.861811e+00
128	3.139620e+02	1.000797e+01
256	6.095570e+02	1.800407e+01
512	1.313171e+03	4.195888e+01
1024	2.632946e+03	8.467771e+01
2048	5.282868e+03	1.708851e+02
4096	1.034800e+04	3.245567e+02
8192	2.091961e+04	6.998961e+02
16384	3.886328e+04	1.199706e+03
32768	8.590488e+04	2.717428e+03
65536	1.786576e+05	5.760755e+03
131072	3.231688e+05	9.726210e+03
262144	6.491945e+05	1.985091e+04
524288	1.308283e+06	4.097495e+04
1048576	2.677309e+06	8.836861e+04
